x,Australia_m_15-34,Australia_m_35-64,Australia_m_65+,Australia_w_15-34,Australia_w_35-64,Australia_w_65+,Canada_m_15-34,Canada_m_35-64,Canada_m_65+,Canada_w_15-34,Canada_w_35-64,Canada_w_65+
32,-0.0014987332734318055,-0.0017678851620841133,-0.0017255539484624107,1.2348160565004267e-4,1.5514142777038015e-4,1.1625126639381708e-4,-0.0016556579492367296,-0.0017893148750048656,-0.0017362092896858628,1.2019863286975438e-4,1.434976741534709e-4,1.0490456631073063e-4
33,-0.0014418954981335944,-0.0017030813454194042,-0.0016576997559036315,1.931979704565045e-4,2.4379237925090713e-4,1.8091954163873948e-4,-0.0015919958036966272,-0.0017211569342942027,-0.0016639436797890007,1.8707289055363882e-4,2.2438852853544228e-4,1.619074650032403e-4
34,-0.0013854733643186888,-0.0016385952495731424,-0.0015905164441143713,2.578780133419603e-4,3.2683151856854534e-4,2.4020648554497196e-4,-0.0015288616151100688,-0.0016535187647020435,-0.0015926858719539957,2.483897381676474e-4,2.993421705468505e-4,2.1318214004972203e-4
35,-0.0013295036189350882,-0.0015744719899498153,-0.0015240436351229459,3.1780542958333743e-4,4.045414052841017e-4,2.9445519466472786e-4,-0.0014662951001600478,-0.0015864439492020567,-0.0015224694286934744,3.045030755701145e-4,3.6869767346870157e-4,2.591612124518836e-4
36,-0.0012740182070477028,-0.0015107512216943474,-0.0014583152162482042,3.7325095701199433e-4,4.771936391990634e-4,3.43990407470931e-4,-0.001404330594490378,-0.0015199703113773202,-0.0014533218453645252,3.557478939045475e-4,4.327783345007223e-4,3.0024916541015757e-4
37,-0.0012190446825609206,-0.0014474675906245296,-0.0013933598503986751,4.2447257436660567e-4,5.450488170996067e-4,3.8911908469149004e-4,-0.001342997519819345,-0.0014541304103566507,-0.001385265128066349,4.024408706664465e-4,4.918919479515763e-4,3.368237469458553e-4
38,-0.0011646065715186788,-0.0013846511314902876,-0.0013292014279733023,4.717157797673273e-4,6.083565953329316e-4,4.301310510111121e-4,-0.0012823207973253184,-0.0013889519786779248,-0.0013183163058298614,4.4488102843645696e-4,5.463311703750506e-4,3.692373799057276e-4
39,-0.0011107236948298402,-0.0013223276212094236,-0.001265859468740519,5.152139280759719e-4,6.673558339260398e-4,4.672996763424008e-4,-0.0012223212150433975,-0.001324458311313265,-0.00125248788642182,4.833504347569963e-4,5.96373952707833e-4,3.9781855883325065e-4
40,-0.001057412456065936,-0.0012605188933813454,-0.001203349480611824,5.551886103851014e-4,7.222748028781696e-4,5.008825797818345e-4,-0.0011630157556580018,-0.0012606686126479664,-0.001187788263475931,5.181149257026317e-4,6.422840197567186e-4,4.228732186495522e-4
41,-0.0010046860990102038,-0.0011992431192933482,-0.0011416832810483225,5.918500624150268e-4,7.733314351590257e-4,5.311223432210977e-4,-0.0011044178899844918,-0.0011975983070415773,-0.0011242220813646943,5.494248396746338e-4,6.843113815594575e-4,4.446860643012925e-4
42,-9.525549388519728e-4,-0.0011385150597528287,-0.0010808692858837827,6.253975914002081e-4,8.207336140502641e-4,5.582472246166382e-4,-0.0010465378405476724,-0.0011352593176563145,-0.0010617905631723386,5.775157510813514e-4,7.22692864451214e-4,4.635218537870132e-4
43,-9.010265702808187e-4,-0.001078346291360638,-0.001020912769569539,6.560200132740043e-4,8.646794849481755e-4,5.824718633101047e-4,-9.893828189436633e-4,-0.001073660317469317,-0.00100049180627036,6.026091960339679e-4,7.576526522956638e-4,4.796266294831911e-4
44,-8.501060552110612e-4,-0.0010187454102525962,-9.618161002091425e-4,6.838960937362966e-4,9.053577837340162e-4,6.039979716787548e-4,-9.329572400807841e-4,-0.0010128069557556818,-9.403210492934767e-4,6.249133841355495e-4,7.89402830432015e-4,4.932288946225898e-4
45,-7.997960924360413e-4,-9.597182158520112e-4,-9.03578952226041e-4,7.091949882064975e-4,9.429481754166543e-4,6.230150088847083e-4,-8.772629159088483e-4,-9.527020628111093e-4,-8.812709137343287e-4,6.446238919801917e-4,8.181439265585181e-4,5.045407332576656e-4
46,-7.500971711550771e-4,-9.012678767756191e-4,-8.46198499073729e-4,7.32076676799006e-4,9.77621598040281e-4,6.397008336687156e-4,-8.222992308441671e-4,-8.933458352545257e-4,-8.233316228959272e-4,6.61924335194829e-4,8.440654441071232e-4,5.137588731697162e-4
47,-7.010077100198584e-4,-8.433950807026031e-4,-7.896695880374452e-4,7.526923913668626e-4,0.0010095406078901373,6.542223340627083e-4,-7.680633007635612e-4,-8.347360038951504e-4,-7.664912005424481e-4,6.76987016815824e-4,8.673463847310925e-4,5.210656920366786e-4
48,-6.525241830997689e-4,-7.860981697384919e-4,-7.339848988756835e-4,7.711850323877035e-4,0.0010388597228707958,6.667360326269744e-4,-7.145501171618746e-4,-7.768679858513593e-4,-7.107356512563498e-4,6.899735505485796e-4,8.881557573814713e-4,5.266301678089268e-4
49,-6.046412339583366e-4,-7.29373262572582e-4,-6.791350877976214e-4,7.876895740496815e-4,0.0010657257616131148,6.773886663922927e-4,-6.617526778337257e-4,-7.197350223595841e-4,-6.560491242308327e-4,7.010354580523004e-4,9.066530721314637e-4,5.306087747096716e-4
50,-5.573517788582475e-4,-6.732143645308839e-4,-6.251089180600922e-4,8.023334563626349e-4,0.0010902781764188416,6.863177411368017e-4,-6.096621052432497e-4,-6.633283035015233e-4,-6.024140619915723e-4,7.103147398568621e-4,9.229888174541235e-4,5.33146326611665e-4
