region,year,gender,age_group,im,outcome,af_entire_1
Canada,2008,w,15-34,_24,Morbidity,0.17469821152050158
Canada,2008,w,15-34,_25,Morbidity,0.03479182708905332
Canada,2008,w,15-34,_27,Morbidity,0.13962494240616904
Canada,2008,w,15-34,_31,Morbidity,-0.19708627677788237
Canada,2008,w,15-34,_51,Morbidity,0.10000477673264113
Canada,2008,w,15-34,_52,Morbidity,-0.12548616490646372
Canada,2008,w,15-34,_55,Morbidity,-0.0966199966736292
Canada,2008,w,15-34,_56,Morbidity,-0.042678944010631666
Canada,2008,w,15-34,_57,Morbidity,0.5837008142105264
Canada,2008,w,15-34,_62,Morbidity,0.5837008142105264
Canada,2008,w,15-34,_63,Morbidity,0.14271182472094107
Canada,2008,w,15-34,_12,Mortality,0.029866938907327147
Canada,2008,w,15-34,_23,Mortality,0.04253296208354322
Canada,2008,w,15-34,_24,Mortality,0.17469821152050158
Canada,2008,w,15-34,_25,Mortality,0.03479182708905332
Canada,2008,w,15-34,_27,Mortality,0.13962494240616904
Canada,2008,w,15-34,_31,Mortality,-0.19708627677788237
Canada,2008,w,15-34,_51,Mortality,0.10000477673264113
Canada,2008,w,15-34,_52,Mortality,0.11465497393061022
Canada,2008,w,15-34,_55,Mortality,0.22615890369093267
Canada,2008,w,15-34,_56,Mortality,-0.05649045208798549
Canada,2008,w,15-34,_57,Mortality,0.7181500914095731
Canada,2008,w,15-34,_62,Mortality,0.7181500914095731
Canada,2008,w,15-34,_63,Mortality,0.14271182472094107
Canada,2008,w,15-34,_11,Morbidity,0.2604617273656177
Canada,2008,w,15-34,_13,Morbidity,0.06146989639080415
Canada,2008,w,15-34,_21,Morbidity,0.3388277952268006
Canada,2008,w,15-34,_22,Morbidity,0.3870138209185532
Canada,2008,w,15-34,_26,Morbidity,0.19885341104865675
Canada,2008,w,15-34,_44,Morbidity,0.1692270173733196
Canada,2008,w,15-34,_45,Morbidity,0.1692270173733196
Canada,2008,w,15-34,_46,Morbidity,0.1692270173733196
Canada,2008,w,15-34,_47,Morbidity,0.1692270173733196
Canada,2008,w,15-34,_54,Morbidity,0.07560534141094846
Canada,2008,w,15-34,_64,Morbidity,0.31543798275233287
Canada,2008,w,15-34,_71,Morbidity,0.1818936843056462
Canada,2008,w,15-34,_81,Morbidity,0.17970120839682902
Canada,2008,w,15-34,_82,Morbidity,0.17970120839682902
Canada,2008,w,15-34,_83,Morbidity,0.17970120839682902
Canada,2008,w,15-34,_84,Morbidity,0.17970120839682902
Canada,2008,w,15-34,_85,Morbidity,0.17970120839682902
Canada,2008,w,15-34,_86,Morbidity,0.17970120839682902
Canada,2008,w,15-34,_91,Morbidity,0.2253722400547031
Canada,2008,w,15-34,_92,Morbidity,0.2253722400547031
Canada,2008,w,15-34,_93,Morbidity,0.2253722400547031
Canada,2008,w,15-34,_94,Morbidity,0.2253722400547031
Canada,2008,w,15-34,_95,Morbidity,0.2253722400547031
Canada,2008,w,15-34,_11,Mortality,0.2604617273656177
Canada,2008,w,15-34,_13,Mortality,0.06146989639080415
Canada,2008,w,15-34,_21,Mortality,0.3388277952268006
Canada,2008,w,15-34,_22,Mortality,0.3870138209185532
Canada,2008,w,15-34,_26,Mortality,0.19885341104865675
